person,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,favorable,unfavorable,net,adjusted_favorable,adjusted_unfavorable,adjusted_net,url,createddate,timestamp
Elon Musk,All polls,SSRS,CNN,3/6/25,3/9/25,1206, A,0.8795878,0.2981884,,35,53,-18,36.67909,52.77109,-16.092,https://s3.documentcloud.org/documents/25558091/cnn-poll-trumps-performance-and-economy.pdf,3/9/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,3/21/25,3/23/25,1030, A,0.500983,0.2925425,,38,58,-20,39.78211,54.69671,-14.9146,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%2003%2025%202025.pdf,3/23/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/22/25,3/25/25,1600, A,0.4310306,0.2729338,,44,51,-7,42.38363,50.31395,-7.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,3/25/25,4/13/25 19:19
Elon Musk,All polls,The Justice Research Fund,Working Families Power,2/24/25,3/2/25,2049, RV,1.05615,0.254228,,38,55,-17,38.9926,53.90401,-14.91141,https://drive.google.com/file/d/1psgeNBsAPSV3-diBTaAIE4_wiFjYwk5y/view,3/2/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Yahoo News,3/20/25,3/24/25,1677, A,0.4300546,0.249228,,39,55,-16,37.38363,54.31395,-16.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/combined_20250324_yahoo.pdf,3/24/25,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,3/13/25,3/17/25,1000, RV,0.5833018,0.2330903,,38,55,-17,39.00071,54.00278,-15.00207,https://navigatorresearch.org/wp-content/uploads/2025/03/Navigator-Topline-F03.17.25.pdf,3/17/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,3/21/25,3/23/25,2206, RV,0.3586495,0.2061585,,39,53,-14,39.08549,53.90515,-14.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032433,3/23/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/16/25,3/18/25,1618, A,0.4115456,0.1819055,,41,53,-12,39.38363,52.31395,-12.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf#page40,3/18/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,3/11/25,3/12/25,1422, A,0.5450874,0.1726557,,38,59,-21,39.78211,55.69671,-15.9146,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Tariffs%20Survey%20Topline%2003%2013%202025.pdf,3/12/25,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,2/19/25,2/20/25,2443, RV,1.126696,0.1567436,,44,44,0,42.9314,46.64042,-3.709019,https://harvardharrispoll.com/wp-content/uploads/2025/02/HHP_Feb2025_vFinal.pdf,2/20/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,3/8/25,3/10/25,1169, LV,0.481802,0.1373731,,40,57,-17,38.87194,56.43621,-17.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,3/10/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,3/14/25,3/16/25,2210, RV,0.33751,0.1305849,,40,49,-9,40.08549,49.90515,-9.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032425,3/16/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/9/25,3/11/25,1699, A,0.4160518,0.1150262,,41,53,-12,39.38363,52.31395,-12.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ddjSlqx.pdf#page=35,3/11/25,4/13/25 19:19
Elon Musk,All polls,Quinnipiac University,,2/13/25,2/17/25,1039, RV,1.124335,0.1116248,,38,50,-12,40.15261,51.06196,-10.90935,https://poll.qu.edu/poll-release?releaseid=3919,2/17/25,4/13/25 19:19
Elon Musk,All polls,RMG Research,Napolitan News Service,2/10/25,2/11/25,1000, RV,1.072574,0.0987897,,44,47,-3,43.32671,47.88205,-4.55534,https://napolitannews.org/posts/favorability-of-americas-top-billionaires,2/11/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,2/28/25,3/1/25,1191, LV,0.4055813,0.0899343,,40,56,-16,38.87194,55.43621,-16.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,3/1/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,2/28/25,3/2/25,1189, LV,0.4053087,0.0898739,,42,52,-10,40.87194,51.43621,-10.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,3/2/25,4/13/25 19:19
Elon Musk,All polls,Echelon Insights,,2/10/25,2/13/25,1010, LV,1.02667,0.088484,,43,50,-7,42.23893,51.0299,-8.79097,https://echeloninsights.com/in-the-news/feb-2025-verified-voter-omnibus-2-2/,2/13/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,3/7/25,3/9/25,2219, RV,0.3300268,0.0877639,,41,52,-11,41.08549,52.90515,-11.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032426,3/9/25,4/13/25 19:19
Elon Musk,All polls,Cygnal,,2/4/25,2/5/25,1500, LV,1.461346,0.085841,,43.1,50.2,-7.100002,42.45009,50.02465,-7.574562,https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/,2/5/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/1/25,3/4/25,1638, A,0.4116669,0.084245,,43,51,-8,41.38363,50.31395,-8.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uHE5Cxl.pdf,3/4/25,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,2/20/25,2/24/25,1000, RV,0.5650721,0.0828245,,41,51,-10,42.00071,50.00278,-8.002071,https://navigatorresearch.org/wp-content/uploads/2025/02/Navigator-Topline-F02.24.25.pdf,2/24/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,2/13/25,2/18/25,4145, A,0.8062682,0.0773153,,39,55,-16,40.78211,51.69671,-10.9146,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-02/Reuters%20Ipsos%20Large%20Sample%20Poll%201%20February%202025%20Topline.pdf,2/18/25,4/13/25 19:19
Elon Musk,All polls,Rasmussen Reports,,2/6/25,2/10/25,1196, LV,1.045056,0.0710231,,52,43,9,48.43561,44.94773,3.487881,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/55_approve_of_elon_musk_running_doge,2/10/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,2/21/25,2/23/25,1029, A,0.4596328,0.0698333,,38,56,-18,39.78211,52.69671,-12.9146,https://www.reuters.com/world/us/trump-approval-rating-holds-steady-44-reutersipsos-poll-finds-2025-02-25/,2/23/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,2/28/25,3/2/25,2229, RV,0.3280082,0.066556,,44,49,-5,44.08549,49.90515,-5.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032427,3/2/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/23/25,2/25/25,1604, A,0.4014317,0.057302,,43,50,-7,41.38363,49.31395,-7.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1q7T4HA.pdf,2/25/25,4/13/25 19:19
Elon Musk,All polls,Pew Research Center,,1/27/25,2/2/25,2529, A,1.410177,0.0556649,,42,54,-12,41.91109,52.48903,-10.57794,https://www.pewresearch.org/politics/2025/02/07/public-anticipates-changes-with-trump-but-is-split-over-whether-they-will-be-good-or-bad/,2/2/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,2/19/25,2/20/25,1295, LV,0.3910442,0.0523024,,41,55,-14,39.87194,54.43621,-14.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,2/20/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,2/21/25,2/24/25,2225, RV,0.3292308,0.0494953,,43,49,-6,43.08549,49.90515,-6.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032428,2/24/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,2/14/25,2/15/25,1215, LV,0.3757456,0.0320645,,42,50,-8,40.87194,49.43621,-8.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,2/15/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/16/25,2/18/25,1135, A,0.3329594,0.0288915,,46,50,-4,44.38363,49.31395,-4.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf,2/18/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,2/14/25,2/16/25,2217, RV,0.3371528,0.0265714,,41,50,-9,41.08549,50.90515,-9.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032429,2/16/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,2/8/25,2/9/25,1201, LV,0.3791478,0.0238765,,42,51,-9,40.87194,50.43621,-9.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,2/9/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/9/25,2/11/25,1595, A,0.3633567,0.0208809,,42,52,-10,40.38363,51.31395,-10.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nyOrDiw.pdf,2/11/25,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,1/30/25,2/3/25,1000, RV,0.5743492,0.0204057,,39,53,-14,40.00071,52.00278,-12.00207,https://navigatorresearch.org/wp-content/uploads/2025/02/Navigator-Toplines-02.03.25.pdf,2/3/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,2/7/25,2/9/25,2230, RV,0.3552139,0.0196221,,39,51,-12,39.08549,51.90515,-12.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032430,2/9/25,4/13/25 19:19
Elon Musk,All polls,Gallup,,1/21/25,1/27/25,1001, A,1.211757,0.0159442,,43,47,-4,42.64578,47.46945,-4.823673,https://news.gallup.com/poll/655955/trump-inaugural-approval-rating-historically-low-again.aspx,1/27/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,1/31/25,2/2/25,1205, LV,0.3898553,0.0138419,,40,53,-13,38.87194,52.43621,-13.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,2/2/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,1/31/25,2/3/25,2208, RV,0.384416,0.0135056,,39,49,-10,39.08549,49.90515,-10.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032431,2/3/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/2/25,2/4/25,1604, A,0.3509554,0.0134387,,43,49,-6,41.38363,48.31395,-6.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FOXP71G.pdf,2/4/25,4/13/25 19:19
Elon Musk,All polls,YouGov,,2/3/25,2/6/25,1106, A,0.3060451,0.013384,,42,47,-5,40.38363,46.31395,-5.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/Democracy__Trump__and_Musk_poll_results.pdf,2/6/25,4/13/25 19:19
Elon Musk,All polls,YouGov,,1/29/25,2/1/25,1019, A,0.2917928,0.0086481,,40,47,-7,38.38363,46.31395,-7.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/Elon_Musk_s_Gesture_poll_results.pdf,2/1/25,4/13/25 19:19
Elon Musk,All polls,Echelon Insights,,1/22/25,1/24/25,1024, LV,1.071223,0.0083476,,43,43,0,42.23893,44.0299,-1.79097,https://echeloninsights.com/in-the-news/dec-2024-verified-voter-omnibus-2/,1/24/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,1/24/25,1/26/25,1034, A,0.6497571,0.0076188,,38,53,-15,39.78211,49.69671,-9.9146,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%2001%2028%202025.pdf,1/26/25,4/13/25 19:19
Elon Musk,All polls,AtlasIntel,,1/21/25,1/23/25,1882, A,1.788494,0.0072811,,45,51,-6,42.61527,50.75443,-8.13916,https://cdn.atlasintel.org/ed3f5238-e823-495e-a877-628217de9e68.pdf,1/23/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,1/26/25,1/28/25,1577, A,0.3490155,0.0062192,,44,48,-4,42.38363,47.31395,-4.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_m8tctwx.pdf,1/28/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,1/24/25,1/26/25,1257, LV,0.4115337,0.0051872,,44,48,-4,42.87194,47.43621,-4.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,1/26/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,1/24/25,1/26/25,2303, RV,0.4607866,0.0049406,,44,47,-3,44.08549,47.90515,-3.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032432,1/26/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,9/15/24,9/17/24,1592, A,0.7132,0,,42,47,-5,40.38363,46.31395,-5.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,9/17/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Yahoo News,12/1/22,12/5/22,1635, A,0.5940346,0,,39,39,0,37.38363,38.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/20221205_yahoo_tabs.pdf,12/5/22,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,11/15/24,11/17/24,1031, A,0.8906438,0,,42,52,-10,43.78211,48.69671,-4.9146,https://www.ipsos.com/sites/default/files/Ipsos%20Core%20Political%2011%2020%202024%20PDF.pdf,11/17/24,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,11/3/22,11/5/22,1000, RV,1.270486,0,,31,35,-4,34.25928,35.6562,-1.396919,https://s3.documentcloud.org/documents/23272032/220806-nbc-november-poll-v2.pdf,11/5/22,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,12/15/24,12/17/24,1553, A,0.4606934,0,,48,42,6,46.38363,41.31395,5.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Td3FU5r.pdf,12/17/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/29/22,11/1/22,1500, A,0.5181705,0,,43,41,2,41.38363,40.31395,1.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_6fumL6n.pdf,11/1/22,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,11/9/24,11/12/24,1743, A,0.560684,0,,44,46,-2,42.38363,45.31395,-2.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_IHMRRoV.pdf,11/12/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,12/5/24,12/8/24,1000, RV,0.7275584,0,,43,44,-1,44.00071,43.00278,0.9979286,https://navigatorresearch.org/wp-content/uploads/2024/12/Navigator-Update-12.18.2024.pdf,12/8/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/26/24,10/29/24,1587, A,0.5557983,0,,45,45,0,43.38363,44.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_NgtZTja.pdf,10/29/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,4/22/23,4/25/23,1500, A,1.032813,0,,52,37,15,50.38363,36.31395,14.06968,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_LnYz0UF.pdf,4/25/23,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,12/13/24,12/15/24,2306, RV,0.5296976,0,,46,43,3,46.08549,43.90515,2.18034,https://pro.morningconsult.com/analysis/rfk-jr-seed-oils-food-policy,12/15/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,12/21/24,12/24/24,1582, A,0.4298521,0,,47,45,2,45.38363,44.31395,1.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_7LzJQAQ.pdf,12/24/24,4/13/25 19:19
Elon Musk,All polls,YouGov,,1/8/25,1/12/25,1156, A,0.3296413,0,,44,45,-1,42.38363,44.31395,-1.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/Social_Media_and_Free_Speech_poll_results.pdf,1/12/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,11/6/24,11/7/24,2200, RV,0.5499562,0,,42,46,-4,42.08549,46.90515,-4.81966,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,11/7/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/8/22,10/11/22,1500, A,0.5321316,0,,46,38,8,44.38363,37.31395,7.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_2022_10_08.pdf,10/11/22,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,1/15/25,1/16/25,2650, RV,1.233329,0,,43,41,2,41.9314,43.64042,-1.709019,https://harvardharrispoll.com/wp-content/uploads/2025/01/HHP_Jan25_KeyResults.pdf,1/16/25,4/13/25 19:19
Elon Musk,All polls,Quinnipiac University,,12/12/24,12/16/24,924, RV,0.9680077,0,,39,44,-5,41.15261,45.06196,-3.909348,https://poll.qu.edu/images/polling/us/us12182024_uvpn19.pdf,12/16/24,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,10/30/24,11/2/24,1000, RV,1.222972,0,,37,42,-5,40.25928,42.6562,-2.396919,https://s3.documentcloud.org/documents/25265231/nbc-november-2024-poll.pdf,11/2/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,10/11/24,10/13/24,3145, RV,1.206477,0,,43,40,3,41.9314,42.64042,-0.7090187,https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct24_KeyResults.pdf,10/13/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,12/13/23,12/14/23,2034, RV,0.869494,0,,49,37,12,47.9314,39.64042,8.290981,https://harvardharrispoll.com/wp-content/uploads/2023/12/HHP_Dec23_KeyResults.pdf,12/14/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,1/17/24,1/18/24,2346, RV,0.9924662,0,,47,37,10,45.9314,39.64042,6.290981,https://harvardharrispoll.com/wp-content/uploads/2024/01/HHP_Jan24_KeyResults.pdf,1/18/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,9/4/24,9/5/24,2358, RV,1.091729,0,,45,39,6,43.9314,41.64042,2.290981,https://harvardharrispoll.com/wp-content/uploads/2024/09/HHP_Sep2024_KeyResults.pdf,9/5/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/4/24,2/6/24,1591, A,1.112317,0,,49,40,9,47.38363,39.31395,8.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_H1zTWuF.pdf,2/6/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,11/15/23,11/16/23,2851, RV,0.9521266,0,,47,35,12,45.9314,37.64042,8.290981,https://harvardharrispoll.com/wp-content/uploads/2023/11/HHP_Nov23_KeyResults.pdf,11/16/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,5/15/24,5/16/24,1660, RV,0.8384818,0,,48,35,13,46.9314,37.64042,9.290981,https://harvardharrispoll.com/wp-content/uploads/2024/05/HHP_May2024_KeyResults.pdf,5/16/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,11/18/23,11/20/23,1500, A,0.9570327,0,,48,40,8,46.38363,39.31395,7.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ewAQzcE.pdf,11/20/23,4/13/25 19:19
