president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Adults,YouGov,CBS News,4/8/2025,4/11/2025,2410, A,0.733705,0.733705,,47,53,-6,46.41605,54.67289,-8.25684,https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/,4/11/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,CBS News,4/8/2025,4/11/2025,2410, A,0.733705,0.733705,,47,53,-6,47.09542,54.02879,-6.933369,https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/,4/11/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,4/2/2025,4/10/2025,3000, RV,0.9548975,0.7209791,,49,48,1,46.07474,50.16923,-4.09449,https://napolitannews.org/jobapproval,4/10/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,4/4/2025,4/10/2025,1500, LV,0.8423072,0.68915,TRUE,48,50,-2,46.09159,50.71701,-4.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/10/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,4/4/2025,4/6/2025,2207, RV,0.7692021,0.6743991,,46,52,-6,45.5505,51.81258,-6.262081,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,4/6/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,J.L. Partners,Daily Mail,4/1/2025,4/3/2025,1019, RV,0.9011652,0.6373859,,47,42,5,47.96043,44.84525,3.115181,https://jlpartners.com/trump-tracker-early-april-2025,4/3/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Global Strategy Group/GBAO (Navigator Research),,4/3/2025,4/7/2025,1000, RV,0.8567227,0.6079074,,44,53,-9,44.10466,52.68984,-8.585178,https://navigatorresearch.org/wp-content/uploads/2025/04/Navigator-Update-04.08.2025.pdf?emci=7876fdc2-1314-f011-8b3d-0022482a9fb7&emdi=41fa485e-7914-f011-8b3d-0022482a9fb7&ceid=1396968,4/7/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,3/27/2025,4/1/2025,1500, RV,1.05411,0.5740371,,46,51,-5,46.41295,50.58203,-4.169083,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf,4/1/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,,4/7/2025,4/10/2025,1151, A,0.5269838,0.4945251,,41,54,-13,40.41605,55.67289,-15.25684,https://d3nkl3psvxxpe9.cloudfront.net/documents/Trump_s_Presidency_poll_results.pdf,4/10/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,,4/7/2025,4/10/2025,1151, A,0.5269838,0.4945251,,41,54,-13,41.09542,55.02879,-13.93337,https://d3nkl3psvxxpe9.cloudfront.net/documents/Trump_s_Presidency_poll_results.pdf,4/10/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Economist,4/5/2025,4/8/2025,1741, A,0.5991974,0.4879562,,43,51,-8,43.09542,52.02879,-8.933369,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31,4/8/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Economist,4/5/2025,4/8/2025,1741, A,0.5991974,0.4879562,,43,51,-8,42.41605,52.67289,-10.25684,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31,4/8/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,4/1/2025,4/3/2025,1019, RV,0.9011652,0.4791183,,47,42,5,47.81336,44.90223,2.911129,https://jlpartners.com/trump-tracker-early-april-2025,4/3/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,TIPP Insights,,3/26/2025,3/28/2025,1452, A,1.557859,0.4551262,,44,45,-1,44.61004,47.43431,-2.824272,https://tippinsights.com/alls-well-that-begins-well-tipp-poll-confirms-trumps-solid-start/,3/28/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,TIPP Insights,,3/26/2025,3/28/2025,1452, A,1.525964,0.4376351,,44,45,-1,45.31242,46.82017,-1.507751,https://tippinsights.com/alls-well-that-begins-well-tipp-poll-confirms-trumps-solid-start/,3/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Harris Insights & Analytics,Harvard CAPS,3/26/2025,3/27/2025,2746, RV,1.223619,0.4284591,,49,46,3,47.91016,47.56234,0.3478203,https://harvardharrispoll.com/key-results-march-5/,3/27/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Economist,3/30/2025,4/1/2025,1465, RV,0.7545159,0.4270111,,46,51,-5,46.07023,50.88137,-4.811142,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf#page35,4/1/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,3/31/2025,4/2/2025,1468, A,0.9098875,0.4159498,,43,53,-10,44.94195,51.87397,-6.932018,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,4/2/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,Ipsos,Reuters,3/31/2025,4/2/2025,1468, A,0.9098875,0.4159498,,43,53,-10,44.2837,52.4628,-8.1791,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,4/2/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/26/2025,4/3/2025,3000, RV,0.8092545,0.4067222,,51,47,4,48.37474,48.96177,-0.5870285,https://napolitannews.org/jobapproval,4/3/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,3/27/2025,4/1/2025,1500, RV,1.05411,0.3940095,,46,51,-5,46.22467,50.60593,-4.38126,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf,4/1/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Harris Insights & Analytics,Harvard CAPS,3/26/2025,3/27/2025,2746, RV,1.223619,0.3361349,,49,46,3,47.78383,47.59344,0.1903877,https://harvardharrispoll.com/key-results-march-5/,3/27/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Targoz Market Research,Overton Insights,3/24/2025,3/28/2025,1200, RV,0.951969,0.3304839,,46,51,-5,46.36564,50.6022,-4.236561,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf,3/28/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Marquette University Law School,,3/17/2025,3/27/2025,712, RV,1.347345,0.3242459,,48,52,-4,48.11328,50.58687,-2.473587,https://www.marquette.edu/news-center/2025/marquette-law-school-national-survey-finds-public-skeptical-of-tariffs-inflation-trends-positive-on-nation-s-direction.php,3/27/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,3/28/2025,3/30/2025,2210, RV,0.6444669,0.2835366,,47,50,-3,46.5505,49.81258,-3.262081,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/30/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,J.L. Partners,Daily Mail,3/25/2025,3/27/2025,1001, RV,0.8711191,0.2815492,,45,46,-1,45.96043,48.84525,-2.884819,https://jlpartners.com/trump-tracker-march-2025,3/27/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,3/26/2025,4/3/2025,3000, RV,0.8092545,0.2557725,,51,47,4,48.07474,49.16923,-1.09449,https://napolitannews.org/jobapproval,4/3/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,4/4/2025,4/6/2025,2207, RV,0.3632274,0.2551516,,46,52,-6,45.07719,53.28051,-8.20332,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,4/6/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Targoz Market Research,Overton Insights,3/24/2025,3/28/2025,1200, RV,0.951969,0.2544433,,46,51,-5,46.16927,50.68234,-4.513069,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf,3/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Marquette University Law School,,3/17/2025,3/27/2025,1021, A,1.530885,0.246133,,46,54,-8,46.21675,52.3194,-6.10265,https://www.marquette.edu/news-center/2025/marquette-law-school-national-survey-finds-public-skeptical-of-tariffs-inflation-trends-positive-on-nation-s-direction.php,3/27/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,Marquette University Law School,,3/17/2025,3/27/2025,1021, A,1.530885,0.246133,,46,54,-8,45.72091,52.81784,-7.096931,https://www.marquette.edu/news-center/2025/marquette-law-school-national-survey-finds-public-skeptical-of-tariffs-inflation-trends-positive-on-nation-s-direction.php,3/27/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,GBAO,Third Way,3/17/2025,3/23/2025,2000, RV,1.210367,0.2268275,,48,50,-2,47.87877,49.90551,-2.026741,https://www.thirdway.org/memo/breaking-through-the-noise-on-trumps-chaotic-first-two-months,3/23/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,3/25/2025,3/27/2025,1001, RV,0.8711191,0.2151977,,45,46,-1,45.81336,48.90223,-3.088871,https://jlpartners.com/trump-tracker-march-2025,3/27/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Economist,3/30/2025,4/1/2025,1626, A,0.5498977,0.2025547,,46,49,-3,46.09542,50.02879,-3.933369,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf#page35,4/1/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Economist,3/30/2025,4/1/2025,1626, A,0.5498977,0.2025547,,46,49,-3,45.41605,50.67289,-5.25684,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf#page35,4/1/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,AP-NORC,,3/20/2025,3/24/2025,1229, A,1.158327,0.1862338,,42,56,-14,43.34711,54.34348,-10.99637,https://apnorc.org/wp-content/uploads/2025/03/March-2025-topline-Trump-.pdf,3/24/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,AP-NORC,,3/20/2025,3/24/2025,1229, A,1.158327,0.1862338,,42,56,-14,42.91821,54.72803,-11.80982,https://apnorc.org/wp-content/uploads/2025/03/March-2025-topline-Trump-.pdf,3/24/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/28/2025,4/3/2025,1500, LV,0.3246551,0.1844947,TRUE,49,50,-1,47.36165,50.55627,-3.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/3/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,CBS News,3/27/2025,3/28/2025,2609, A,0.6507163,0.1680962,,50,50,0,49.41605,51.67289,-2.25684,https://www.scribd.com/document/844532642/cbsnews-20250330-SUN-1,3/28/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,CBS News,3/27/2025,3/28/2025,2609, A,0.6507163,0.1680962,,50,50,0,50.09542,51.02879,-0.9333687,https://www.scribd.com/document/844532642/cbsnews-20250330-SUN-1,3/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Economist,3/22/2025,3/25/2025,1440, RV,0.6576285,0.1643692,,48,50,-2,48.07023,49.88137,-1.811142,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,3/25/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,American Research Group,,3/17/2025,3/20/2025,1011, RV,0.8815433,0.1387171,,46,51,-5,47.26507,50.14457,-2.879498,https://americanresearchgroup.com/economy/,3/20/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Beacon Research/Shaw & Co. Research,FOX News,3/14/2025,3/17/2025,994, RV,1.414738,0.1369101,,49,51,-2,48.61525,50.57198,-1.95673,https://www.foxnews.com/politics/fox-news-poll-trump-republicans-record-high-ratings-democrats-falter,3/17/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/18/2025,3/27/2025,2000, RV,0.6572263,0.1367637,,52,45,7,49.37474,46.96177,2.412971,https://napolitannews.org/posts/president-trump-job-approval-rating-52-percent-approve-45-disapprove,3/27/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,GBAO,Third Way,3/17/2025,3/23/2025,2000, RV,1.210367,0.130147,,48,50,-2,47.60646,50.11543,-2.508968,https://www.thirdway.org/memo/breaking-through-the-noise-on-trumps-chaotic-first-two-months,3/23/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/28/2025,4/3/2025,1500, LV,0.3246551,0.1244259,TRUE,49,50,-1,47.09159,50.71701,-3.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/3/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Yahoo News,3/20/2025,3/24/2025,1125, RV,0.5898029,0.1181253,,46,50,-4,46.07023,49.88137,-3.811142,https://www.scribd.com/document/844115747/Yahoo-News-YouGov-March-2025-Poll,3/24/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,3/21/2025,3/23/2025,2206, RV,0.6076261,0.1147895,,47,51,-4,46.5505,50.81258,-4.262081,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032425,3/23/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,3/28/2025,3/30/2025,2210, RV,0.3946802,0.1117653,,47,50,-3,46.07719,51.28051,-5.20332,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/30/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,4/3/2025,4/9/2025,1500, LV,0.1179456,0.1107808,TRUE,47,52,-5,45.36165,52.55627,-7.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/9/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/31/2025,4/4/2025,1500, LV,0.1553196,0.1076579,TRUE,48,51,-3,46.36165,51.55627,-5.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/4/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,4/2/2025,4/8/2025,1500, LV,0.1158841,0.1017728,TRUE,47,52,-5,45.36165,52.55627,-7.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/8/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,North Star Opinion Research,Defending Democracy Together,3/13/2025,3/17/2025,1000, RV,1.158492,0.0996553,,46,51,-5,46.46378,50.56185,-4.098072,https://www.defendingdemocracytogether.org/app/uploads/2025/03/Elon-Musk-Poll-Toplines-Defending-Democracy-Together.pdf,3/17/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,3/18/2025,3/27/2025,2000, RV,0.6572263,0.0935603,,52,45,7,49.07474,47.16923,1.90551,https://napolitannews.org/posts/president-trump-job-approval-rating-52-percent-approve-45-disapprove,3/27/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,4/1/2025,4/7/2025,1500, LV,0.1142977,0.0933447,TRUE,47,51,-4,45.36165,51.55627,-6.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/7/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Adults,Ipsos,Reuters,3/21/2025,3/23/2025,1030, A,0.7138999,0.0913268,,45,51,-6,46.2837,50.4628,-4.1791,https://www.reuters.com/world/us/majority-americans-believe-presidents-should-obey-courts-reutersipsos-poll-finds-2025-03-25/,3/23/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,3/21/2025,3/23/2025,1030, A,0.7138999,0.0913268,,45,51,-6,46.94195,49.87397,-2.932018,https://www.reuters.com/world/us/majority-americans-believe-presidents-should-obey-courts-reutersipsos-poll-finds-2025-03-25/,3/23/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Beacon Research/Shaw & Co. Research,FOX News,3/14/2025,3/17/2025,994, RV,1.414738,0.0912734,,49,51,-2,48.41862,50.75074,-2.332119,https://www.foxnews.com/politics/fox-news-poll-trump-republicans-record-high-ratings-democrats-falter,3/17/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Economist,3/22/2025,3/25/2025,1600, A,0.5274391,0.0899763,,48,46,2,48.09542,47.02879,1.066631,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,3/25/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Economist,3/22/2025,3/25/2025,1600, A,0.5274391,0.0899763,,48,46,2,47.41605,47.67289,-0.2568398,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,3/25/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,4/3/2025,4/9/2025,1500, LV,0.1179456,0.0892863,TRUE,47,52,-5,45.09159,52.71701,-7.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/9/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,American Research Group,,3/17/2025,3/20/2025,1100, A,0.8966224,0.0840952,,45,51,-6,46.27381,50.2527,-3.978889,https://americanresearchgroup.com/economy/,3/20/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,American Research Group,,3/17/2025,3/20/2025,1100, A,0.8966224,0.0840952,,45,51,-6,45.74018,50.70444,-4.96426,https://americanresearchgroup.com/economy/,3/20/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,4/2/2025,4/8/2025,1500, LV,0.1158841,0.0806059,TRUE,47,52,-5,45.09159,52.71701,-7.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/8/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Blueprint Polling,,3/13/2025,3/14/2025,1400, LV,1.113644,0.0795104,,45,51,-6,45.76838,50.62,-4.85162,https://blueprint-research.com/polling/trump-musk-vulnerabilities-topline/,3/14/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/31/2025,4/4/2025,1500, LV,0.1553196,0.0790609,TRUE,48,51,-3,46.09159,51.71701,-5.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/4/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/21/2025,3/27/2025,1500, LV,0.3190628,0.0757162,TRUE,50,49,1,48.36165,49.55627,-1.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/27/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,4/1/2025,4/7/2025,1500, LV,0.1142977,0.0723916,TRUE,47,51,-4,45.09159,51.71701,-6.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/7/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Yahoo News,3/20/2025,3/24/2025,1677, A,0.552658,0.0672826,,44,50,-6,43.41605,51.67289,-8.25684,https://www.yahoo.com/news/more-americans-say-trumps-second-term-has-been-worse-than-expected-according-to-a-new-poll-120010590.html,3/24/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Yahoo News,3/20/2025,3/24/2025,1677, A,0.552658,0.0672826,,44,50,-6,44.09542,51.02879,-6.933369,https://www.yahoo.com/news/more-americans-say-trumps-second-term-has-been-worse-than-expected-according-to-a-new-poll-120010590.html,3/24/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,North Star Opinion Research,Defending Democracy Together,3/13/2025,3/17/2025,1000, RV,1.158492,0.0622845,,46,51,-5,46.27916,50.73541,-4.456249,https://www.defendingdemocracytogether.org/app/uploads/2025/03/Elon-Musk-Poll-Toplines-Defending-Democracy-Together.pdf,3/17/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Echelon Insights,,3/10/2025,3/13/2025,1007, LV,1.216695,0.0607725,,49,48,1,48.66889,48.05056,0.6183319,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2025-Voter-Omnibus-Topline-External.pdf,3/13/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,3/13/2025,3/17/2025,1000, RV,0.8260709,0.0588761,,47,49,-2,47.24997,48.6256,-1.375629,https://navigatorresearch.org/wp-content/uploads/2025/03/Navigator-Topline-F03.17.25.pdf,3/17/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/27/2025,4/2/2025,1500, LV,0.1080875,0.0544574,TRUE,49,49,0,47.36165,49.55627,-2.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/2/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/21/2025,3/27/2025,1500, LV,0.3190628,0.0541758,TRUE,50,49,1,48.09159,49.71701,-1.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/27/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Economist,3/16/2025,3/18/2025,1458, RV,0.6715394,0.0526256,,47,50,-3,47.07023,49.88137,-2.811142,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf#page40,3/18/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/12/2025,3/19/2025,3000, RV,0.7265997,0.0489898,,53,45,8,50.37474,46.96177,3.412971,https://napolitannews.org/posts/president-trump-job-approval-rating-53-percent-approve-45-disapprove,3/19/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,3/21/2025,3/23/2025,2206, RV,0.5020458,0.047746,,47,51,-4,46.07719,52.28051,-6.20332,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=032425,3/23/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/26/2025,4/1/2025,1500, LV,0.1081961,0.0474531,TRUE,50,49,1,48.36165,49.55627,-1.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/1/2025,17:16:52 13 Apr 2025
