name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,age,points,games_played,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls
Ajay Mitchell,Oklahoma City Thunder,Belgium,25,SG,PG,3PT Shot Creator,"6'5""",190,"6'9""",NA,1,2002-06-25,68,73,73,75,85,50,83,80,53,87,80,69,79,68,52,43,64,52,45,33,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Horford,Boston Celtics,Dominican Republic,42,PF,C,2-Way 3-Level Scoring Threat,"6'9""",240,"7'1""",9500000,18,1986-06-03,80,94,83,85,71,65,53,67,91,95,78,79,50,84,72,82,68,38,71,51,75,37,8.6,65,33,26.8,3.3,6.4,0.511,1.7,4,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4
Alec Burks,Miami Heat,United States,18,SG,SF,Shot-Creating 3-Level Threat,"6'6""",214,"6'10""",2087519,14,1991-07-20,76,71,75,81,90,65,78,78,48,89,85,72,79,73,57,45,72,38,47,36,54,32,10.4,66,1,18.4,3.2,8.6,0.369,1.9,5,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1
Alex Caruso,Oklahoma City Thunder,United States,9,SG,SF,3 & D Two Guard,"6'5""",186,"6'6""",9890000,9,1994-02-28,82,83,85,84,77,70,82,94,31,85,81,78,78,80,85,51,94,97,74,41,54,29,10.1,71,57,28.7,3.6,7.6,0.468,1.9,4.7,0.408,1.6,2.9,0.563,0.593,1,1.4,0.76,0.9,3,3.8,3.5,1.7,1,1.4,2.5
Alex Len,Sacramento Kings,Ukraine,25,C,NA,Board-Hunting Lob Threat,"7'0""",250,"7'4""",2087519,12,1993-06-16,71,88,61,70,66,50,43,50,75,80,78,31,32,45,60,70,44,40,91,76,79,30,2.5,48,0,9.3,1,1.7,0.617,0,0.1,0,1,1.6,0.641,0.617,0.4,0.7,0.588,1,1.7,2.7,1,0.2,0.7,0.6,1.4
Alexandre Sarr,Washington Wizards,France,20,PF,C,Rim Attacker,"7'1""",205,"7'5""",11245680,1,2005-04-26,75,73,71,71,61,60,73,72,67,80,80,65,73,66,75,75,72,62,83,64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alperen Sengun,Houston Rockets,Turkey,28,C,NA,Inside the Arc Threat,"6'11""",243,"7'2""",5424654,4,2002-07-25,85,97,80,72,67,80,52,64,86,88,80,74,62,78,66,69,63,53,61,68,80,21,21.1,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3
Amen Thompson,Houston Rockets,United States,1,SG,SF,2-Way Rim Attacker,"6'7""",200,"7'0""",9249960,2,2003-01-30,80,86,71,42,64,45,95,90,50,95,80,80,86,80,71,46,80,83,65,76,77,21,9.5,62,23,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3
Amir Coffey,Los Angeles Clippers,United States,7,SF,SG,Shot-Creating 3-Level Threat,"6'7""",210,"6'8""",3938271,6,1997-06-17,73,93,82,82,78,60,75,75,52,80,79,72,75,74,55,47,64,42,47,36,47,26,6.6,70,13,20.9,2.4,5,0.472,1,2.6,0.38,1.4,2.4,0.571,0.571,0.9,1,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5
Andre Drummond,Philadelphia 76ers,United States,5,C,NA,Paint Beast,"6'11""",279,"7'6""",5000000,13,1993-08-10,78,85,47,47,60,40,60,58,95,89,81,52,45,70,72,77,52,83,75,97,98,30,8.4,79,10,17.1,3.4,6.1,0.556,0,0,0,3.4,6,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8
Andre Jackson Jr.,Milwaukee Bucks,United States,44,SF,PG,Wing Stopper,"6'6""",209,"6'10""",1891857,2,2001-11-13,72,70,68,80,70,50,87,87,50,90,80,69,69,64,63,53,80,42,25,66,58,22,2.2,57,8,10,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2,0.9,0.3,0.1,0.5,1.6
Andrew Nembhard,Indiana Pacers,Canada,2,SG,PG,2-Way 3-Level Shot Creator,"6'4""",191,"6'6""",2019699,3,2000-01-16,81,94,95,79,79,70,76,81,46,85,80,80,79,80,66,68,80,53,32,36,42,24,9.2,68,47,25,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1
Andrew Wiggins,Golden State Warriors,Canada,22,SF,PF,Inside-Out Shot Creator,"6'7""",197,"7'0""",26276786,11,1995-02-23,78,92,72,80,61,70,82,82,57,87,83,62,79,60,61,55,74,38,58,56,54,28,13.2,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1
Anfernee Simons,Portland Trail Blazers,United States,1,SG,PG,Inside-Out ISO Specialist,"6'3""",181,"6'9""",25892857,7,1999-06-08,81,84,79,82,95,60,86,89,41,92,80,78,86,79,45,49,59,33,32,32,52,24,22.6,46,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1
Anthony Black,Orlando Magic,United States,0,PG,SG,Inside-Out Scoring Threat,"6'7""",200,"6'8""",7607760,2,2004-01-20,74,78,65,83,57,98,75,78,58,92,80,80,86,77,60,43,75,43,56,41,52,20,4.6,69,33,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2,1.3,0.5,0.3,0.8,1.6
Anthony Davis,Los Angeles Lakers,United States,3,C,PF,Slashing Paint Beast,"6'10""",253,"7'6""",43219440,13,1993-03-11,94,93,79,70,82,98,79,78,92,97,80,60,75,72,84,95,80,46,87,72,90,30,24.7,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3
Anthony Edwards,Minnesota Timberwolves,United States,5,SG,SF,2-Way Scoring Phenom,"6'4""",225,"6'9""",42176400,5,2001-08-05,93,95,87,86,85,75,91,90,62,97,83,74,86,79,72,59,87,53,52,36,63,22,25.9,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8
Anthony Gill,Washington Wizards,United States,16,PF,C,Interior Threat,"6'8""",230,"7'0""",NA,9,1992-10-17,72,84,72,65,76,70,69,67,60,80,80,38,54,55,55,66,60,41,58,65,59,31,3.8,50,3,9.3,1.5,3.2,0.469,0.2,0.8,0.244,1.3,2.4,0.546,0.5,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1
Anton Watson,Boston Celtics,United States,28,PF,SF,Promising Prospect,"6'8""",228,"7'0""",NA,1,2000-10-06,68,73,69,70,65,60,65,65,60,80,80,54,54,55,53,60,60,49,42,60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Reeves,New Orleans Pelicans,United States,12,SG,SF,Catch & Shoot Threat,"6'3""",195,"6'7""",NA,1,2000-11-20,68,73,79,78,84,60,83,78,39,85,80,62,70,62,47,32,60,46,51,41,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzejs Pasecniks,Milwaukee Bucks,Latvia,18,C,NA,Interior Threat,"7'1""",229,"7'5""",NA,8,1995-12-20,73,89,67,54,56,70,45,52,68,85,80,33,32,52,55,69,40,36,66,71,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariel Hukporti,New York Knicks,Germany,55,C,PF,Board Hunter,"7'0""",250,"7'3""",NA,1,2002-04-12,68,63,57,47,61,50,47,37,68,80,82,43,45,44,51,60,37,28,90,82,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ausar Thompson,Detroit Pistons,United States,9,SF,PF,2-Way Rim Attacker,"6'6""",205,"7'0""",8376000,2,2003-01-30,78,94,63,45,69,40,94,90,50,95,80,75,83,75,78,69,84,73,72,67,75,21,8.8,63,38,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2,4.3,6.4,1.9,1.1,0.9,1.3,2.8
Austin Reaves,Los Angeles Lakers,United States,15,SG,PG,Balanced Two Guard,"6'5""",197,"6'6""",12976362,4,1998-05-29,81,96,83,81,86,70,83,83,44,85,80,70,73,74,57,35,73,40,45,37,54,25,15.9,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9
Ayo Dosunmu,Chicago Bulls,United States,12,SG,PG,Shot-Creating 3-Level Threat,"6'5""",200,"6'10""",7000000,4,2000-01-17,78,88,91,84,71,85,76,78,52,85,80,72,79,79,58,38,69,43,56,38,45,24,12.2,76,37,29.1,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2
Bam Adebayo,Miami Heat,United States,13,C,NA,Paint Beast,"6'9""",255,"7'3""",34848340,8,1997-07-18,88,97,70,71,81,60,74,84,85,92,90,72,69,74,88,94,88,79,84,74,89,26,19.3,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2
Baylor Scheierman,Boston Celtics,United States,55,SG,SF,Perimeter Shot Creator,"6'7""",205,"6'11""",2494320,1,2000-09-26,69,73,80,83,85,60,86,64,54,90,80,70,71,69,49,47,56,47,50,41,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sheppard,Indiana Pacers,United States,26,SG,SF,Defensive Menace,"6'6""",190,"6'8""",2663880,2,2001-07-16,71,78,78,74,70,60,84,84,54,85,80,70,73,70,65,54,79,66,30,35,50,22,4.4,57,1,14.3,1.6,4,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0,0.3,1.5
Ben Simmons,Brooklyn Nets,Australia,10,PG,C,2-Way Rim Attacker,"6'10""",240,"7'0""",40338144,9,1996-07-20,76,75,46,50,44,50,87,87,80,80,83,79,86,80,73,79,82,46,65,68,88,27,6.1,15,12,23.9,2.9,4.9,0.581,0,0,0,2.9,4.9,0.581,0.581,0.4,1,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4
Bennedict Mathurin,Indiana Pacers,Canada,00,SF,SF,Shot-Creating 3-Level Threat,"6'5""",210,"6'9""",7245720,3,2002-06-19,80,82,84,82,84,50,84,84,54,92,80,75,79,82,52,42,69,37,42,47,57,21,14.5,59,19,26.1,5,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,0.821,1,2.9,4,2,0.6,0.2,1.6,2
Bilal Coulibaly,Washington Wizards,France,0,SG,SF,Versatile Stopper,"6'8""",195,"7'2""",6945240,2,2004-07-26,77,66,48,78,63,95,82,85,63,92,80,68,69,62,73,67,80,70,62,41,57,19,8.4,63,15,27.2,3,6.9,0.435,1,2.9,0.346,2,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2
Blake Wesley,San Antonio Spurs,United States,14,PG,SG,Rim Attacker,"6'3""",185,"6'9""",2624280,3,2003-03-16,72,79,60,67,59,70,78,78,40,92,80,69,83,68,55,49,71,46,47,36,48,20,4.4,61,3,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5
Bobby Portis,Milwaukee Bucks,United States,9,PF,C,3-Level Scoring Threat,"6'10""",250,"7'2""",12578286,10,1995-02-10,80,94,85,84,81,55,65,64,80,85,84,55,52,52,60,78,40,46,53,64,86,28,13.8,82,4,24.5,5.7,11.2,0.508,1.2,3,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3
Bobi Klintman,Detroit Pistons,Sweden,34,PF,SF,Promising Prospect,"6'10""",225,"7'0""",NA,1,2003-03-06,69,68,70,74,80,60,75,68,55,90,80,68,70,68,60,57,64,62,57,41,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogdan Bogdanovic,Atlanta Hawks,Serbia,13,SG,SF,Sharpshooter,"6'5""",225,"6'11""",17260000,11,1992-08-18,79,94,89,82,92,60,75,75,63,89,77,74,79,79,56,51,63,56,50,36,50,31,16.9,79,33,30.4,6,13.9,0.428,3,8.1,0.374,2.9,5.8,0.503,0.537,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3
Bojan Bogdanovic,Brooklyn Nets,Croatia,44,SF,PF,Sharpshooting Wing,"6'7""",226,"6'11""",19032850,14,1989-04-18,77,92,90,83,77,60,67,72,60,93,84,77,74,82,57,54,72,37,32,33,50,34,15.2,57,27,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,0.551,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7
Bol Bol,Phoenix Suns,South Sudan,11,PF,C,3-Level Scoring Threat,"7'3""",220,"7'8""",NA,6,1999-11-16,75,95,82,79,76,70,68,68,65,80,77,50,70,40,57,72,52,37,83,65,85,24,5.2,43,0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1
Bradley Beal,Phoenix Suns,United States,3,SG,PG,Walking Bucket,"6'4""",207,"6'8""",50203930,13,1993-06-28,85,88,86,87,71,70,76,83,62,98,82,82,88,85,55,45,66,42,52,42,52,30,18.2,53,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4
Brandin Podziemski,Golden State Warriors,United States,2,SG,PG,Inside-Out Shot Creator,"6'4""",205,"6'6""",3519960,2,2003-02-25,79,87,68,82,65,98,82,82,54,89,80,69,80,68,53,45,63,43,40,57,67,20,9.2,74,28,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6
Brandon Boston Jr.,San Antonio Spurs,United States,4,SF,SG,Mid-Range Threat,"6'6""",188,"6'11""",NA,4,2001-11-28,72,78,74,67,76,75,79,83,50,80,83,64,76,66,50,49,62,46,61,57,51,22,5.2,32,0,10.8,2,5,0.404,0.4,1.6,0.269,1.6,3.4,0.468,0.447,0.7,1,0.697,0.6,1,1.6,0.4,0.3,0.3,0.8,1.3
Brandon Clarke,Memphis Grizzlies,Canada,15,C,PF,2-Way Inside-The-Arc Threat,"6'8""",215,"6'8""",12500000,6,1996-09-19,77,97,86,57,72,45,84,83,64,90,80,59,69,62,73,78,75,53,81,71,75,27,11.3,6,1,22.3,5.5,9.8,0.559,0.2,1,0.167,5.3,8.8,0.604,0.568,0.2,1.2,0.143,2.2,3.2,5.3,1.5,0.8,1,0.5,1.3
Brandon Ingram,New Orleans Pelicans,United States,14,SF,PF,Mid-Range Slasher,"6'8""",190,"7'3""",36016200,9,1997-09-02,85,94,93,78,80,60,74,74,42,95,85,75,85,79,59,61,69,40,58,36,62,26,20.8,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3
Brandon Miller,Charlotte Hornets,United States,24,SF,SG,Shot-Creating 3-Level Threat,"6'7""",200,"7'1""",11424600,2,2002-11-22,81,82,91,81,83,70,78,82,51,95,80,75,86,75,60,50,73,42,56,38,56,21,17.3,74,68,32.2,6.4,14.6,0.44,2.5,6.7,0.373,3.9,8,0.495,0.524,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5
Brandon Williams,Dallas Mavericks,United States,00,PG,SG,Steady Playmaker,"6'1""",190,"6'6""",NA,4,1999-11-22,70,77,77,67,82,65,79,79,62,89,81,75,79,79,51,33,62,53,55,40,49,24,3.2,17,0,6.6,1.2,3.2,0.37,0.2,0.9,0.2,1,2.3,0.436,0.398,0.6,1,0.647,0.2,0.5,0.8,1,0.1,0.1,0.4,0.2
Brice Sensabaugh,Utah Jazz,United States,8,SF,SG,Mid-Range Shot Creator,"6'5""",235,"6'7""",2571480,2,2003-10-30,72,91,84,73,83,60,65,67,64,88,79,65,74,63,48,50,55,38,47,40,66,20,7.5,32,11,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3
Bronny James,Los Angeles Lakers,United States,9,SG,PG,Rim Attacker,"6'3""",190,"6'7""",NA,1,2004-10-06,68,69,63,69,68,50,87,87,60,90,80,67,70,65,59,47,72,57,44,42,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brook Lopez,Milwaukee Bucks,United States,11,C,NA,2-Way 3-Level Scoring Threat,"7'1""",282,"7'6""",23000000,17,1988-04-01,80,84,94,80,81,60,25,60,89,92,79,35,35,78,75,89,45,36,90,52,58,35,12.5,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4
Bruce Brown,Toronto Raptors,United States,11,PG,SG,Perimeter Threat,"6'4""",202,"6'9""",23000000,7,1996-08-15,77,88,86,75,80,85,78,78,75,92,84,79,79,87,63,58,77,43,45,40,61,27,10.8,67,44,27.9,4.1,8.7,0.478,0.8,2.4,0.323,3.4,6.2,0.538,0.523,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2
Bruno Fernando,Toronto Raptors,Angola,24,C,NA,Board-Hunting Lob Threat,"6'9""",240,"7'3""",NA,6,1998-08-15,71,77,65,42,70,25,74,74,85,85,80,52,50,65,58,64,44,53,76,77,81,25,6.3,45,2,15.2,2.4,4.2,0.583,0,0.1,0,2.4,4.1,0.596,0.583,1.4,2.1,0.667,1.3,3,4.3,1,0.6,0.6,1,2.4
Bryce McGowens,Portland Trail Blazers,United States,7,SF,SG,Shot-Creating 3-Level Threat,"6'6""",175,"6'9""",NA,3,2002-11-08,71,87,79,77,73,55,74,75,48,85,80,52,74,50,55,37,66,40,51,35,52,21,5.1,59,14,14.9,1.7,3.9,0.439,0.6,1.7,0.333,1.1,2.2,0.523,0.513,1.1,1.4,0.776,0.3,1.4,1.7,0.9,0.4,0.2,0.5,1.3
Bub Carrington,Washington Wizards,United States,8,PG,SG,Perimeter Shot Creator,"6'5""",180,"6'9""",4454880,1,2005-07-21,70,76,84,75,78,60,82,72,54,89,80,72,82,72,45,40,55,43,37,37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddy Hield,Golden State Warriors,Bahamas,7,SG,SF,Perimeter Shot Creator,"6'4""",220,"6'9""",8780488,9,1992-12-17,79,88,80,88,82,55,75,78,41,90,82,70,79,70,55,48,69,46,56,40,52,31,12.1,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2
Cade Cunningham,Detroit Pistons,United States,2,PG,SG,Shot-Creating 3-Level Threat,"6'6""",220,"7'0""",13940809,4,2001-09-25,86,85,92,82,88,70,83,83,62,94,80,67,86,84,64,59,75,41,47,33,57,22,22.7,62,62,33.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5
Caleb Houstan,Orlando Magic,Canada,2,SG,SF,3 & D Threat,"6'8""",205,"7'0""",2019699,3,2003-01-09,72,74,76,81,78,70,78,82,40,86,80,62,70,65,61,47,80,36,37,45,45,21,4.3,59,13,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1
Caleb Martin,Philadelphia 76ers,United States,16,PF,SF,Inside-Out Scoring Threat,"6'5""",210,"6'10""",8149001,6,1995-09-28,76,91,70,80,66,70,68,74,58,85,80,62,69,69,65,68,75,41,56,48,60,28,10,64,23,27.4,3.8,8.7,0.431,1.3,3.6,0.349,2.5,5.1,0.489,0.504,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2
